name,likes,retweet,reply's,tweeted
ANMOL JAMWAL, 1710, 143,46,Handsome Hunk   for     #HrithikRoshan   #Hrithik    #Bollywood
IndiaToday, 723, 179,26,Wishing the gorgeous  #DishaPatani  a happy birthday   #IIFA    #Bollywood    #HappyBirthdayDishaPatani 
Jyothi Jha, 1539, 294,7,The supporting cast of this   #Bollywood   movie   #MaiHoonNa
ANMOL JAMWAL, 1346, 107,23,#Jawan  is coming soon. #ShahRukhKhan𓀠      #bollywood
Naresh Ravulapalli, 629, 172,5,I’m a bit late to the party but   is frickin’ AWESOME and available on      #RRRMovie    #bollywood    #netflix
Jason Ragosta, 2243, 317,9,"This new selfie by the stunning trio is sure to make your day!    #Lisa  of  #BLACKPINK ,  ,  #AnneHathaway     What's your fave selfie pose?    #Kpop    #Bollywood    #Hollywood   #PriyankaChopraJonas"
ETimes TV, 6,3,0,My Favourite Actor is  #Thala   #Ajithkumar  says.   #Bollywood   Actor  #RanbirKapoor   #AK61
IndiaToday, 724, 179,26,"#Bollywood   actor  #RajkummarRao ’s  #HitTheFirstCase  motion poster out
Sanya Malhotra essays the role of the female lead in the thriller"
Naresh Ravulapalli, 630, 172,5,Wishing the gorgeous  #DishaPatani  a happy birthday   #IIFA    #Bollywood    #HappyBirthdayDishaPatani 
IIFA, 9,3,0,#Jawan  is coming soon. #ShahRukhKhan𓀠      #bollywood
Urban Asian, 1486, 817,60,A lovely chat with the big man   sir about the Magnificient  #Major  Journey Check this out!  #IndiaLovesMAJOR    #Bollywood   Interview with him coming tomorrow 
Adivi Sesh, 4574, 986,26,#SonakshiSinha  is all praise for  #ShahRukhKhan  as she calls him the most 'Chivalrous Man' in   #Bollywood  .
ANMOL JAMWAL, 1710, 143,46,My Favourite Actor is  #Thala   #Ajithkumar  says.   #Bollywood   Actor  #RanbirKapoor   #AK61
IndiaToday, 729, 180,29,"How is this Concept  #waxdigitalart   .      
.
Art by   
. #JrNTR   #prabhas   #PrashanthNeel   #Salaar   #ntr31   #HombaleFilms    #bollywood    #panindia   #Tollywood   #Kollywood   #Hollywood   #jrntrfans   #prabhasfans   #kgf  "
Jason Ragosta, 2244, 317,9,The supporting cast of this   #Bollywood   movie   #MaiHoonNa
ANMOL JAMWAL, 1367, 108,23,   snapped at the airport   #bollywood    #bollywoodnews   #celebrity   #airportlook   #airportspotting   #airportdiaries   #karankundrra   #tejasswiprakash   #tejran
DailyEnt.Xpress, 181, 163,57,A Very Low-Key kinda Day......   with her quirky little post. #shehnaazgill   #beaurifuldiva   #sidnaaz    #bollywood    #southasian   #urbanasian
Urban Asian, 1486, 817,60,"This was the PEAK of   #Bollywood   award shows!
Entertaining & absolutely hilarious "
ANMOL JAMWAL, 2059, 336,52,#NaseeruddinShah  #NupurSharma   #NupurSharmaControversy    #Bollywood    #Islamophobia_in_india
